Movie_Name,Movie_Year
P.k,2014
Dhoom 3,2013
Bombay Talkies,2013
Talaash,2012
Dhobi Ghat,2011
Khelein Hum Jee Jaan Sey,2010
3 Idiots,2009
Ghajini,2008
Taare Zameen Par,2007
Fanaa,2006
Rang De Basanti,2006
Mangal Pandey,2005
Dil Chahta Hai,2001
Lagaan,2001
Mela,2000
Mann,1999
Sarfarosh,1999
Earth,1998
Ghulam,1998
Ishq,1997
Raja Hindustani,1996
Akele Hum Akele Thum,1995
Rangeela,1995
Aatank Hi Aatank,1995
Baazi,1995
Andaz Apna Apna,1994
Pehla Nasha,1993
Hum Hain  Rahi Pyar Ke,1993
Damini,1993
Jo Jeeta Wohi Sikandar,1992
Parampara,1992
Daulat Ki Jung,1992
Isi Ka Naam Zindagi,1992
Dil Hai Ki Manta Nahin,1991
Afsana Pyaar Ka,1991
Jawani Zindabad,1990
Deewana Mujh Sa Nahin,1990
Dil,1990
Tum Mere Ho,1990
Awwal Number,1990
Love Love Love,1989
Raakh,1989
Qayamat Se Qayamat Tak,1988
Holi,1984
